n,density,representation,trial,time_s
40,0.1,matrix,7,0.000070400
40,0.1,list,8,0.000036100
40,0.1,matrix,8,0.000059100
40,0.1,list,9,0.000032900
40,0.1,matrix,9,0.000060800
40,0.1,list,10,0.000031700
40,0.1,matrix,10,0.000062000
40,0.1,list,11,0.000032800
40,0.1,matrix,11,0.000062300
40,0.1,list,12,0.000036700
40,0.1,matrix,12,0.000063500
40,0.1,list,13,0.000034700
40,0.1,matrix,13,0.000093100
40,0.1,list,14,0.000031200
40,0.1,matrix,14,0.000059500
40,0.1,list,15,0.000032700
40,0.1,matrix,15,0.000058100
40,0.1,list,16,0.000036900
40,0.1,matrix,16,0.000180500
40,0.1,list,17,0.000034700
40,0.1,matrix,17,0.000070100
40,0.1,list,18,0.000052800
40,0.1,matrix,18,0.000076300
40,0.1,list,19,0.000037700
40,0.1,matrix,19,0.000068000
40,0.1,list,20,0.000042600
40,0.1,matrix,20,0.000109600
40,0.2,list,1,0.000042300
40,0.2,matrix,1,0.000060600
40,0.2,list,2,0.000037400
40,0.2,matrix,2,0.000062900
40,0.2,list,3,0.000049600
40,0.2,matrix,3,0.000066600
40,0.2,list,4,0.000068300
40,0.2,matrix,4,0.000069000
40,0.2,list,5,0.000045100
40,0.2,matrix,5,0.000068800
40,0.2,list,6,0.000043500
40,0.2,matrix,6,0.000080600
40,0.2,list,7,0.000111900
40,0.2,matrix,7,0.000068600
40,0.2,list,8,0.000043800
40,0.2,matrix,8,0.000062500
40,0.2,list,9,0.000042600
40,0.2,matrix,9,0.000068400
40,0.2,list,10,0.000064500
40,0.2,matrix,10,0.000094900
40,0.2,list,11,0.000067000
40,0.2,matrix,11,0.000213800
40,0.2,list,12,0.000069600
40,0.2,matrix,12,0.000126400
40,0.2,list,13,0.000067600
40,0.2,matrix,13,0.000144300
40,0.2,list,14,0.000082300
40,0.2,matrix,14,0.000129300
40,0.2,list,15,0.000078300
40,0.2,matrix,15,0.000106300
40,0.2,list,16,0.000048800
40,0.2,matrix,16,0.000067700
40,0.2,list,17,0.000045100
40,0.2,matrix,17,0.000067800
40,0.2,list,18,0.000060400
40,0.2,matrix,18,0.000065900
40,0.2,list,19,0.000055300
40,0.2,matrix,19,0.000158700
40,0.2,list,20,0.000044800
40,0.2,matrix,20,0.000116600
40,0.5,list,1,0.000072700
40,0.5,matrix,1,0.000067100
40,0.5,list,2,0.000066400
40,0.5,matrix,2,0.000080000
40,0.5,list,3,0.000067400
40,0.5,matrix,3,0.000072100
40,0.5,list,4,0.000074500
40,0.5,matrix,4,0.000080100
40,0.5,list,5,0.000072100
40,0.5,matrix,5,0.000075100
40,0.5,list,6,0.000081600
40,0.5,matrix,6,0.000069400
40,0.5,list,7,0.000075900
40,0.5,matrix,7,0.000163100
40,0.5,list,8,0.000349000
40,0.5,matrix,8,0.000092200
40,0.5,list,9,0.000165800
40,0.5,matrix,9,0.000075900
40,0.5,list,10,0.000073300
40,0.5,matrix,10,0.000085500
40,0.5,list,11,0.000066600
40,0.5,matrix,11,0.000083000
40,0.5,list,12,0.000076000
40,0.5,matrix,12,0.000070400
40,0.5,list,13,0.000076400
40,0.5,matrix,13,0.000070700
40,0.5,list,14,0.000097000
40,0.5,matrix,14,0.000066800
40,0.5,list,15,0.000069700
40,0.5,matrix,15,0.000068800
40,0.5,list,16,0.000081700
40,0.5,matrix,16,0.000073900
40,0.5,list,17,0.000077300
40,0.5,matrix,17,0.000094400
40,0.5,list,18,0.000079400
40,0.5,matrix,18,0.000095700
40,0.5,list,19,0.000091400
40,0.5,matrix,19,0.000097400
40,0.5,list,20,0.000074500
40,0.5,matrix,20,0.000077600
60,0.01,list,1,0.000053900
60,0.01,matrix,1,0.000230800
60,0.01,list,2,0.000044600
60,0.01,matrix,2,0.000256200
60,0.01,list,3,0.000047900
60,0.01,matrix,3,0.000234700
60,0.01,list,4,0.000039500
60,0.01,matrix,4,0.000412600
60,0.01,list,5,0.000043800
60,0.01,matrix,5,0.000257300
60,0.01,list,6,0.000042100
60,0.01,matrix,6,0.000265300
60,0.01,list,7,0.000041600
60,0.01,matrix,7,0.000214100
60,0.01,list,8,0.000038400
60,0.01,matrix,8,0.000195900
60,0.01,list,9,0.000043300
60,0.01,matrix,9,0.000213900
60,0.01,list,10,0.000038900
60,0.01,matrix,10,0.000194300
60,0.01,list,11,0.000049500
60,0.01,matrix,11,0.000209300
60,0.01,list,12,0.000042700
60,0.01,matrix,12,0.000222500
60,0.01,list,13,0.000044200
60,0.01,matrix,13,0.000399800
60,0.01,list,14,0.000038700
60,0.01,matrix,14,0.000458300
60,0.01,list,15,0.000042900
60,0.01,matrix,15,0.000328900
60,0.01,list,16,0.000062700
60,0.01,matrix,16,0.000244000
60,0.01,list,17,0.000039200
60,0.01,matrix,17,0.000258700
60,0.01,list,18,0.000059900
60,0.01,matrix,18,0.000313000
60,0.01,list,19,0.000042100
60,0.01,matrix,19,0.000218300
60,0.01,list,20,0.000043600
60,0.01,matrix,20,0.000194200
60,0.05,list,1,0.000049800
60,0.05,matrix,1,0.000121600
60,0.05,list,2,0.000040100
60,0.05,matrix,2,0.000115700
60,0.05,list,3,0.000041600
60,0.05,matrix,3,0.000138300
60,0.05,list,4,0.000044000
60,0.05,matrix,4,0.000182500
60,0.05,list,5,0.000049200
60,0.05,matrix,5,0.000126500
60,0.05,list,6,0.000040200
60,0.05,matrix,6,0.000113000
60,0.05,list,7,0.000042900
60,0.05,matrix,7,0.000156100
60,0.05,list,8,0.000044600
60,0.05,matrix,8,0.000124700
60,0.05,list,9,0.000045300
60,0.05,matrix,9,0.000150800
60,0.05,list,10,0.000040300
60,0.05,matrix,10,0.000107500
60,0.05,list,11,0.000041100
60,0.05,matrix,11,0.000280600
60,0.05,list,12,0.000043400
60,0.05,matrix,12,0.000118600
60,0.05,list,13,0.000042200
60,0.05,matrix,13,0.000129900
60,0.05,list,14,0.000044400
60,0.05,matrix,14,0.000131600
60,0.05,list,15,0.000044000
60,0.05,matrix,15,0.000167100
60,0.05,list,16,0.000042900
60,0.05,matrix,16,0.000131900
60,0.05,list,17,0.000042400
60,0.05,matrix,17,0.000136500
60,0.05,list,18,0.000042200
60,0.05,matrix,18,0.000134900
60,0.05,list,19,0.000038800
60,0.05,matrix,19,0.000134600
60,0.05,list,20,0.000040300
60,0.05,matrix,20,0.000114700
60,0.1,list,1,0.000048900
60,0.1,matrix,1,0.000156100
60,0.1,list,2,0.000054300
60,0.1,matrix,2,0.000617700
60,0.1,list,3,0.000059700
60,0.1,matrix,3,0.000126700
60,0.1,list,4,0.000057900
60,0.1,matrix,4,0.000125800
60,0.1,list,5,0.000052800
60,0.1,matrix,5,0.000123800
60,0.1,list,6,0.000051600
60,0.1,matrix,6,0.000116000
60,0.1,list,7,0.000049200
60,0.1,matrix,7,0.000126100
60,0.1,list,8,0.000060300
60,0.1,matrix,8,0.000107500
60,0.1,list,9,0.000045700
60,0.1,matrix,9,0.000123100
60,0.1,list,10,0.000052500
60,0.1,matrix,10,0.000151400
60,0.1,list,11,0.000049500
60,0.1,matrix,11,0.000124400
60,0.1,list,12,0.000069300
60,0.1,matrix,12,0.000129600
60,0.1,list,13,0.000055500
60,0.1,matrix,13,0.000103700
60,0.1,list,14,0.000056100
60,0.1,matrix,14,0.000131500
60,0.1,list,15,0.000051100
60,0.1,matrix,15,0.000108100
60,0.1,list,16,0.000046700
60,0.1,matrix,16,0.000107100
60,0.1,list,17,0.000046600
60,0.1,matrix,17,0.000123000
60,0.1,list,18,0.000049900
60,0.1,matrix,18,0.000124700
60,0.1,list,19,0.000165500
60,0.1,matrix,19,0.000116900
60,0.1,list,20,0.000052400
60,0.1,matrix,20,0.000148100
60,0.2,list,1,0.000083800
60,0.2,matrix,1,0.000239500
60,0.2,list,2,0.000096900
60,0.2,matrix,2,0.000150600
60,0.2,list,3,0.000097100
60,0.2,matrix,3,0.000136600
60,0.2,list,4,0.000081700
60,0.2,matrix,4,0.000129800
60,0.2,list,5,0.000073300
60,0.2,matrix,5,0.000178500
60,0.2,list,6,0.000109200
60,0.2,matrix,6,0.000212700
60,0.2,list,7,0.000079200
60,0.2,matrix,7,0.000160200
60,0.2,list,8,0.000087900
60,0.2,matrix,8,0.000130600
60,0.2,list,9,0.000072800
60,0.2,matrix,9,0.000169300
60,0.2,list,10,0.000112200
60,0.2,matrix,10,0.000216700
60,0.2,list,11,0.000101700
60,0.2,matrix,11,0.000134400
60,0.2,list,12,0.000074500
60,0.2,matrix,12,0.000133000
60,0.2,list,13,0.000093900
60,0.2,matrix,13,0.000189700
60,0.2,list,14,0.000074800
60,0.2,matrix,14,0.000130800
60,0.2,list,15,0.000073600
60,0.2,matrix,15,0.000133200
60,0.2,list,16,0.000074200
60,0.2,matrix,16,0.000125300
60,0.2,list,17,0.000074100
60,0.2,matrix,17,0.000133600
60,0.2,list,18,0.000101800
60,0.2,matrix,18,0.000183500
60,0.2,list,19,0.000126900
60,0.2,matrix,19,0.000180700
60,0.2,list,20,0.000081100
60,0.2,matrix,20,0.000183000
60,0.5,list,1,0.000142600
60,0.5,matrix,1,0.000232200
60,0.5,list,2,0.000140600
60,0.5,matrix,2,0.000153200
60,0.5,list,3,0.000143000
60,0.5,matrix,3,0.000157300
60,0.5,list,4,0.000143300
60,0.5,matrix,4,0.000147000
60,0.5,list,5,0.000142700
60,0.5,matrix,5,0.000204500
60,0.5,list,6,0.000195400
60,0.5,matrix,6,0.000245900
60,0.5,list,7,0.000197700
60,0.5,matrix,7,0.000148600
60,0.5,list,8,0.000169100
60,0.5,matrix,8,0.000190600
60,0.5,list,9,0.000189400
60,0.5,matrix,9,0.000319200
60,0.5,list,10,0.000140700
60,0.5,matrix,10,0.000168200
60,0.5,list,11,0.000139600
60,0.5,matrix,11,0.000152900
60,0.5,list,12,0.000151700
60,0.5,matrix,12,0.000175600
60,0.5,list,13,0.000149500
60,0.5,matrix,13,0.000168500
60,0.5,list,14,0.000211100
60,0.5,matrix,14,0.000256400
60,0.5,list,15,0.000160400
60,0.5,matrix,15,0.000152100
60,0.5,list,16,0.000140200
60,0.5,matrix,16,0.000157200
60,0.5,list,17,0.000144000
60,0.5,matrix,17,0.000154500
60,0.5,list,18,0.000200800
60,0.5,matrix,18,0.000245700
60,0.5,list,19,0.000143900
60,0.5,matrix,19,0.000167700
60,0.5,list,20,0.000144900
60,0.5,matrix,20,0.000170800
80,0.01,list,1,0.000060100
80,0.01,matrix,1,0.000476400
80,0.01,list,2,0.000066400
80,0.01,matrix,2,0.000557600
80,0.01,list,3,0.000072200
80,0.01,matrix,3,0.000731700
80,0.01,list,4,0.000061500
80,0.01,matrix,4,0.000725500
80,0.01,list,5,0.000083900
80,0.01,matrix,5,0.000559600
80,0.01,list,6,0.000090400
80,0.01,matrix,6,0.000433400
80,0.01,list,7,0.000055900
80,0.01,matrix,7,0.000348500
80,0.01,list,8,0.000051800
80,0.01,matrix,8,0.000645000
80,0.01,list,9,0.000058700
80,0.01,matrix,9,0.000342600
80,0.01,list,10,0.000051500
80,0.01,matrix,10,0.000353900
80,0.01,list,11,0.000051800
80,0.01,matrix,11,0.000580200
80,0.01,list,12,0.000049700
80,0.01,matrix,12,0.000319000
80,0.01,list,13,0.000056100
80,0.01,matrix,13,0.000538600
80,0.01,list,14,0.000047100
80,0.01,matrix,14,0.000350800
80,0.01,list,15,0.000073400
80,0.01,matrix,15,0.000356400
80,0.01,list,16,0.000064400
80,0.01,matrix,16,0.000401800
80,0.01,list,17,0.000081000
80,0.01,matrix,17,0.000338000
80,0.01,list,18,0.000048300
80,0.01,matrix,18,0.000348700
80,0.01,list,19,0.000168800
80,0.01,matrix,19,0.000387500
80,0.01,list,20,0.000054800
80,0.01,matrix,20,0.000363800
80,0.05,list,1,0.000049100
80,0.05,matrix,1,0.000162600
80,0.05,list,2,0.000049000
80,0.05,matrix,2,0.000210900
80,0.05,list,3,0.000054000
80,0.05,matrix,3,0.000198800
80,0.05,list,4,0.000388900
80,0.05,matrix,4,0.000235300
80,0.05,list,5,0.000052500
80,0.05,matrix,5,0.000207400
80,0.05,list,6,0.000060300
80,0.05,matrix,6,0.000188900
80,0.05,list,7,0.000053500
80,0.05,matrix,7,0.000267300
80,0.05,list,8,0.000056500
80,0.05,matrix,8,0.000215400
80,0.05,list,9,0.000051200
80,0.05,matrix,9,0.000251000
80,0.05,list,10,0.000063100
80,0.05,matrix,10,0.000205900
80,0.05,list,11,0.000049400
80,0.05,matrix,11,0.000213100
80,0.05,list,12,0.000053000
80,0.05,matrix,12,0.000217000
80,0.05,list,13,0.000046100
80,0.05,matrix,13,0.000179800
80,0.05,list,14,0.000063200
80,0.05,matrix,14,0.000183100
80,0.05,list,15,0.000046500
80,0.05,matrix,15,0.000204600
80,0.05,list,16,0.000067900
80,0.05,matrix,16,0.000203200
80,0.05,list,17,0.000047600
80,0.05,matrix,17,0.000209200
80,0.05,list,18,0.000048800
80,0.05,matrix,18,0.000390500
80,0.05,list,19,0.000051700
80,0.05,matrix,19,0.000212100
80,0.05,list,20,0.000049400
80,0.05,matrix,20,0.000183400
80,0.1,list,1,0.000063600
80,0.1,matrix,1,0.000221000
80,0.1,list,2,0.000069400
80,0.1,matrix,2,0.000282600
80,0.1,list,3,0.000070700
80,0.1,matrix,3,0.000190400
80,0.1,list,4,0.000070200
80,0.1,matrix,4,0.000215500
80,0.1,list,5,0.000080000
80,0.1,matrix,5,0.000189600
80,0.1,list,6,0.000064700
80,0.1,matrix,6,0.000201500
